iter	Passed	Remaining
0	0	419
1	0	363
2	1	335
3	1	319
4	1	309
5	1	301
6	2	299
7	2	294
8	2	292
9	2	290
10	3	288
11	3	287
12	3	285
13	4	282
14	4	280
15	4	278
16	4	278
17	5	277
18	5	277
19	5	277
20	5	277
21	6	277
22	6	278
23	6	278
24	7	277
25	7	277
26	7	276
27	7	275
28	8	274
29	8	273
30	8	272
31	9	272
32	9	272
33	9	272
34	9	272
35	10	272
36	10	271
37	10	271
38	10	270
39	11	270
40	11	269
41	11	269
42	12	269
43	12	268
44	12	267
45	12	267
46	13	266
47	13	265
48	13	265
49	13	264
50	14	264
51	14	263
52	14	263
53	15	263
54	15	262
55	15	261
56	15	261
57	16	260
58	16	260
59	16	260
60	16	260
61	17	259
62	17	259
63	17	258
64	17	258
65	18	258
66	18	258
67	18	257
68	19	257
69	19	257
70	19	256
71	19	256
72	20	256
73	20	255
74	20	255
75	20	255
76	21	254
77	21	254
78	21	253
79	22	253
80	22	252
81	22	252
82	22	250
83	22	250
84	23	249
85	23	249
86	23	249
87	24	248
88	24	248
89	24	248
90	24	247
91	25	247
92	25	246
93	25	246
94	25	246
95	26	246
96	26	246
97	26	246
98	26	245
99	27	245
100	27	245
101	27	244
102	28	244
103	28	244
104	28	244
105	28	243
106	29	243
107	29	243
108	29	242
109	29	242
110	30	242
111	30	241
112	30	241
113	31	241
114	31	241
115	31	240
116	31	240
117	32	239
118	32	239
119	32	239
120	32	238
121	33	237
122	33	237
123	33	237
124	33	237
125	34	236
126	34	236
127	34	235
128	35	236
129	35	236
130	35	236
131	35	236
132	36	235
133	36	235
134	36	234
135	36	234
136	37	234
137	37	234
138	37	233
139	37	233
140	38	233
141	38	232
142	38	231
143	38	231
144	39	231
145	39	231
146	39	230
147	40	230
148	40	230
149	40	230
150	40	229
151	41	229
152	41	229
153	41	229
154	42	228
155	42	228
156	42	228
157	42	228
158	43	227
159	43	227
160	43	226
161	43	226
162	44	226
163	44	225
164	44	225
165	44	225
166	45	225
167	45	224
168	45	224
169	46	224
170	46	224
171	46	224
172	46	224
173	47	224
174	47	223
175	47	223
176	48	223
177	48	223
178	48	222
179	48	222
180	49	222
181	49	222
182	49	221
183	50	221
184	50	221
185	50	221
186	50	221
187	51	221
188	51	221
189	51	220
190	52	220
191	52	220
192	52	220
193	52	219
194	53	219
195	53	219
196	53	219
197	54	219
198	54	218
199	54	218
200	55	218
201	55	218
202	55	218
203	55	218
204	56	217
205	56	217
206	56	217
207	57	217
208	57	217
209	57	216
210	57	216
211	58	216
212	58	216
213	58	215
214	59	215
215	59	215
216	59	214
217	59	214
218	60	214
219	60	214
220	60	213
221	60	213
222	61	213
223	61	212
224	61	212
225	61	212
226	62	211
227	62	211
228	62	211
229	62	210
230	63	210
231	63	210
232	63	209
233	64	209
234	64	209
235	64	208
236	64	208
237	65	208
238	65	207
239	65	207
240	65	207
241	66	207
242	66	206
243	66	206
244	66	206
245	67	205
246	67	205
247	67	205
248	67	204
249	68	204
250	68	204
251	68	203
252	68	203
253	69	203
254	69	202
255	69	202
256	69	202
257	70	201
258	70	201
259	70	201
260	70	200
261	71	200
262	71	200
263	71	199
264	71	199
265	72	199
266	72	198
267	72	198
268	72	198
269	73	197
270	73	197
271	73	197
272	73	197
273	74	196
274	74	196
275	74	196
276	75	195
277	75	195
278	75	195
279	75	194
280	76	194
281	76	194
282	76	193
283	76	193
284	77	193
285	77	193
286	77	192
287	77	192
288	78	192
289	78	191
290	78	191
291	78	191
292	79	190
293	79	190
294	79	190
295	79	190
296	80	189
297	80	189
298	80	189
299	81	189
300	81	188
301	81	188
302	81	188
303	82	187
304	82	187
305	82	187
306	82	187
307	83	186
308	83	186
309	83	186
310	83	185
311	84	185
312	84	185
313	84	184
314	84	184
315	85	184
316	85	183
317	85	183
318	85	183
319	86	183
320	86	182
321	86	182
322	86	182
323	87	182
324	87	181
325	87	181
326	88	181
327	88	180
328	88	180
329	88	180
330	89	180
331	89	179
332	89	179
333	89	179
334	90	179
335	90	178
336	90	178
337	90	178
338	91	177
339	91	177
340	91	177
341	92	177
342	92	176
343	92	176
344	92	176
345	93	175
346	93	175
347	93	175
348	93	175
349	94	174
350	94	174
351	94	174
352	94	173
353	95	173
354	95	173
355	95	173
356	96	172
357	96	172
358	96	172
359	96	172
360	97	171
361	97	171
362	97	171
363	97	171
364	98	170
365	98	170
366	98	170
367	99	170
368	99	169
369	99	169
370	99	169
371	100	169
372	100	168
373	100	168
374	100	168
375	101	168
376	101	167
377	101	167
378	101	167
379	102	166
380	102	166
381	102	166
382	103	165
383	103	165
384	103	165
385	103	165
386	104	164
387	104	164
388	104	164
389	104	163
390	105	163
391	105	163
392	105	163
393	105	162
394	106	162
395	106	162
396	106	162
397	106	161
398	107	161
399	107	161
400	107	161
401	108	160
402	108	160
403	108	160
404	108	159
405	109	159
406	109	159
407	109	159
408	109	158
409	110	158
410	110	158
411	110	158
412	111	157
413	111	157
414	111	157
415	111	156
416	112	156
417	112	156
418	112	156
419	112	155
420	113	155
421	113	155
422	113	155
423	113	154
424	114	154
425	114	154
426	114	153
427	115	153
428	115	153
429	115	153
430	115	152
431	116	152
432	116	152
433	116	152
434	116	151
435	117	151
436	117	151
437	117	151
438	118	150
439	118	150
440	118	150
441	118	150
442	119	149
443	119	149
444	119	149
445	119	149
446	120	148
447	120	148
448	120	148
449	121	148
450	121	147
451	121	147
452	122	147
453	122	147
454	122	147
455	123	147
456	123	146
457	123	146
458	124	146
459	124	146
460	124	145
461	124	145
462	125	145
463	125	144
464	125	144
465	126	144
466	126	144
467	126	143
468	126	143
469	127	143
470	127	143
471	127	142
472	127	142
473	128	142
474	128	141
475	128	141
476	128	141
477	129	141
478	129	140
479	129	140
480	129	140
481	130	139
482	130	139
483	130	139
484	131	139
485	131	138
486	131	138
487	131	138
488	132	138
489	132	137
490	132	137
491	132	137
492	133	136
493	133	136
494	133	136
495	134	136
496	134	135
497	134	135
498	134	135
499	135	135
500	135	134
501	135	134
502	135	134
503	136	134
504	136	133
505	136	133
506	137	133
507	137	133
508	137	132
509	137	132
510	138	132
511	138	132
512	138	131
513	139	131
514	139	131
515	139	131
516	140	130
517	140	130
518	140	130
519	140	130
520	141	129
521	141	129
522	141	129
523	142	129
524	142	128
525	142	128
526	142	128
527	143	128
528	143	127
529	143	127
530	144	127
531	144	126
532	144	126
533	144	126
534	145	126
535	145	125
536	145	125
537	146	125
538	146	125
539	146	124
540	146	124
